mach,planform_area,angle_of_attack,lift,induced_drag,parasitic_drag,wave_drag,total_drag,lift_over_drag,le_sweep,altitude
0.9,1,-5.0,-0.246542839184,0.008939235164,0.008626994344738013,0,0.017566229508738013,-14.035045998992645,56.308309619814615,0.0
0.9,1,-4.0,-0.197515336613,0.005731949954,0.008626994344738013,0,0.014358944298738012,-13.75556116826495,56.308309619814615,0.0
0.9,1,-3.0,-0.148294697481,0.003228588634,0.008626994344738013,0,0.011855582978738014,-12.508427274049197,56.308309619814615,0.0
0.9,1,-2.0,-0.098934441322,0.001436223868,0.008626994344738013,0,0.010063218212738013,-9.831292458387601,56.308309619814615,0.0
0.9,1,-1.0,-0.049484888571,0.000359211599,0.008626994344738013,0,0.008986205943738014,-5.506761015808152,56.308309619814615,0.0
0.9,1,0.0,0.0,0.0,0.008626994344738013,0,0.008626994344738013,0.0,56.308309619814615,0.0
0.9,1,1.0,0.049475633042,0.000359055494,0.008626994344738013,0,0.008986049838738012,5.505826690245498,56.308309619814615,0.0
0.9,1,2.0,0.098897150637,0.001434916444,0.008626994344738013,0,0.010061910788738013,9.828863792719424,56.308309619814615,0.0
0.9,1,3.0,0.148213677259,0.003224268968,0.008626994344738013,0,0.011851263312738013,12.506150048973808,56.308309619814615,0.0
0.9,1,4.0,0.197370157266,0.005721466438,0.008626994344738013,0,0.014348460782738014,13.755493376923546,56.308309619814615,0.0
0.9,1,5.0,0.246312572096,0.00891920169,0.008626994344738013,0,0.01754619603473801,14.03794712018204,56.308309619814615,0.0
0.9,1,6.0,0.294995676005,0.012807749621,0.008626994344738013,0,0.021434743965738013,13.76250056807446,56.308309619814615,0.0
0.9,1,7.0,0.343371681927,0.017375447789,0.008626994344738013,0,0.026002442133738014,13.205362794807542,56.308309619814615,0.0
0.9,1,8.0,0.39139224002,0.022610838356,0.008626994344738013,0,0.031237832700738016,12.529430059043536,56.308309619814615,0.0
0.9,1,9.0,0.439043512476,0.028500782263,0.008626994344738013,0,0.037127776607738014,11.825203461941117,56.308309619814615,0.0
0.9,1,10.0,0.486215579089,0.035020816374,0.008626994344738013,0,0.043647810718738016,11.139518135792033,56.308309619814615,0.0
0.9,1,11.0,0.532168295974,0.042010665713,0.008626994344738013,0,0.05063766005773802,10.509338215217914,56.308309619814615,0.0
0.9,1,12.0,0.573387499172,0.048706414765,0.008626994344738013,0,0.05733340910973801,10.000931534954038,56.308309619814615,0.0
0.9,1,13.0,0.608626090457,0.054714932177,0.008626994344738013,0,0.063341926521738,9.60858192792934,56.308309619814615,0.0
0.9,1,14.0,0.638001345332,0.059902021427,0.008626994344738013,0,0.068529015771738,9.309944673028816,56.308309619814615,0.0
0.9,1,15.0,0.662050751059,0.064238297225,0.008626994344738013,0,0.07286529156973802,9.08595487366387,56.308309619814615,0.0
0.9,1,16.0,0.680849300899,0.067651704391,0.008626994344738013,0,0.07627869873573802,8.925811690335104,56.308309619814615,0.0
0.9,1,17.0,0.694082361379,0.070151363703,0.008626994344738013,0,0.07877835804773801,8.810571565332713,56.308309619814615,0.0
0.9,1,18.0,0.7017120764,0.071878037658,0.008626994344738013,0,0.08050503200273801,8.716375348762478,56.308309619814615,0.0
0.9,1,19.0,0.704044704599,0.072840126537,0.008626994344738013,0,0.08146712088173802,8.64207175826219,56.308309619814615,0.0
0.9,1,20.0,0.702033183309,0.073345574384,0.008626994344738013,0,0.08197256872873801,8.564245261511253,56.308309619814615,0.0
