...Mass Properties...
7 Num Comps
7 Total Num Meshes
5152 Total Num Tris

1.367009306879725e+03             Total Mass
3.892665792473370e+01 -3.366868288784288e-10 -5.422661167368721e-02       Center of Gravity
1.710408045635116e+04 2.194185289867702e+05 2.314573684711722e+05       Ixx, Iyy, Izz
-7.322366466425911e-01 -6.357331805637228e+02 -1.911417518349181e-01       Ixy, Ixz, Iyz
1.367009306879725e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Fuse	1.172684579355354e+03	3.791394705812435e+01	-3.928813714260640e-10	-6.225022652326632e-10	4.931904697218807e+03	1.962993088131733e+05	1.963175223005817e+05	-6.416582872379110e-01	9.439856854496869e-01	-1.663639381909864e-01	1.172684579355354e+03
Wing	8.795422349029178e+01	4.650223059286489e+01	7.351781537875775e+00	-4.682667264990626e-01	8.915268525495992e+02	2.543188589848327e+03	3.415534622960518e+03	9.011728507735075e+02	-7.872852922970421e+01	-7.710712359644809e+01	8.795422349029178e+01
Wing	8.795422349027868e+01	4.650223059284288e+01	-7.351781537859869e+00	-4.682667264988605e-01	8.915268536885584e+02	2.543188559064582e+03	3.415534591037012e+03	-9.012561697053363e+02	-7.872852926190509e+01	7.708442156245802e+01	8.795422349027868e+01
VStab	3.184694728480261e+00	5.474853427767309e+01	9.965772252087786e+00	1.294282690406887e+00	5.683820501770317e+00	1.900409451016946e+01	1.337502661053602e+01	-9.325675846914633e-02	7.177464413350275e+00	-7.092489933598167e-02	3.184694728480261e+00
VStab	3.184694728480160e+00	5.474853427767320e+01	-9.965772252087945e+00	1.294282690406853e+00	5.683822220920032e+00	1.900402370716218e+01	1.337495408837889e+01	9.014747778961689e-02	7.177460345030087e+00	7.012106509918914e-02	3.184694728480160e+00
Canards	6.023445534570364e+00	1.852367621373617e+01	3.700006406708201e+00	3.331593525627405e-12	1.370104373608464e+01	2.115184862788097e+01	3.479389178878222e+01	8.763053980335805e+00	4.163401935343793e-03	-6.381914198635058e-04	6.023445534570364e+00
Canards	6.023445534570257e+00	1.852367621373654e+01	-3.700006406708254e+00	3.331596809781853e-12	1.370104294487565e+01	2.115191951653780e+01	3.479396346864772e+01	-8.767204600243284e+00	4.191073712175498e-03	-6.337288301848879e-04	6.023445534570257e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.367009306879725e+03	3.892665792473370e+01	-3.366868288784288e-10	-5.422661167368721e-02	1.710408045635116e+04	2.194185289867702e+05	2.314573684711722e+05	-7.322366466425911e-01	-6.357331805637228e+02	-1.911417518349181e-01	1.367009306879725e+03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
200 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-1.692181085023693e+01	9.072961734083260e-02	5.619425563875452e+01	-1.692181085023697e+01	-1.305489288673862e+00	7.278855166709723e-04	9.352032233121681e-02	9.388585262286839e-02	-2.268567924452089e-05	5.656155243105999e-05	-8.346064339335733e-06	9.072961734083260e-02
-1.675174239948078e+01	1.917341084762712e-01	5.610380781381478e+01	-1.683221971038536e+01	-1.297651079584482e+00	2.951986703831116e-03	2.106941939324332e-01	2.128176916656900e-01	-1.455263358286243e-03	2.185418897787007e-06	1.024920478386071e-04	1.917341084762712e-01
-1.658167394872463e+01	3.035644913630670e-01	5.601062647029129e+01	-1.673992094272854e+01	-1.289575983757097e+00	8.363830594173496e-03	3.569583098149014e-01	3.638853999695151e-01	-5.969001893058807e-03	-3.149393656482583e-04	4.788459741856267e-04	3.035644913630670e-01
-1.641160549796848e+01	4.267717839579722e-01	5.591493679189113e+01	-1.664513759812496e+01	-1.281283515613212e+00	1.895276554997310e-02	5.383988046874396e-01	5.551149232471964e-01	-1.553678361682435e-02	-1.062164733504264e-03	1.293800347736682e-03	4.267717839579722e-01
-1.624153704721233e+01	5.619070042177389e-01	5.581694517492653e+01	-1.654807411798474e+01	-1.272791561458569e+00	3.700309584840535e-02	7.620277355505527e-01	7.957595495611671e-01	-3.245632389248664e-02	-2.452982265970590e-03	2.742842144114364e-03	5.619070042177389e-01
