mach,planform_area,angle_of_attack,lift,induced_drag,parasitic_drag,wave_drag,total_drag,lift_over_drag,le_sweep,altitude
0.01,3.201,-5.0,-0.143769845682,0.00541010167,0.028072757276607647,0.0,0.033482858946607644,-4.293834224588107,57.17934110398554,0.0
0.01,3.201,-2.916667,-0.082993533372,0.001676633787,0.028072757276607647,0.0,0.029749391063607647,-2.789755702715064,57.17934110398554,0.0
0.01,3.201,-0.833333,-0.022135019161,0.000150594394,0.028072757276607647,0.0,0.028223351670607646,-0.7842803157943797,57.17934110398554,0.0
0.01,3.201,1.25,0.035050573776,0.000337258693,0.028072757276607647,0.0,0.028410015969607648,1.2337400237119283,57.17934110398554,0.0
0.01,3.201,3.333333,0.095017554368,0.002425190355,0.028072757276607647,0.0,0.030497947631607646,3.1155392984387293,57.17934110398554,0.0
0.01,3.201,5.416667,0.156089626199,0.006465084796,0.028072757276607647,0.0,0.03453784207260765,4.519379811595017,57.17934110398554,0.0
0.01,3.201,7.5,0.217099263575,0.01242245198,0.028072757276607647,0.0,0.04049520925660765,5.361109809293692,57.17934110398554,0.0
0.01,3.201,9.583333,0.277820685904,0.020265615907,0.028072757276607647,0.0,0.04833837318360765,5.747414892278867,57.17934110398554,0.0
0.01,3.201,11.666667,0.344181623435,0.031254952444,0.028072757276607647,0.0,0.05932770972060765,5.8013637313130175,57.17934110398554,0.0
0.01,3.201,13.75,0.404693263142,0.04329420396,0.028072757276607647,0.0,0.07136696123660764,5.670596815805194,57.17934110398554,0.0
0.01,3.201,15.833333,0.461859165835,0.056604918712,0.028072757276607647,0.0,0.08467767598860765,5.454320285043457,57.17934110398554,0.0
0.01,3.201,17.916667,0.513246349725,0.0704158324,0.028072757276607647,0.0,0.09848858967660765,5.211226512738896,57.17934110398554,0.0
0.01,3.201,20.0,0.556008149009,0.08370013044,0.028072757276607647,0.0,0.11177288771660765,4.974445595596669,57.17934110398554,0.0
0.07263157894736841,3.201,-5.0,-0.143846817824,0.005415709882,0.018854966789365796,0.0,0.024270676671365794,-5.926774097473288,57.17934110398554,0.0
0.07263157894736841,3.201,-2.916667,-0.083035199327,0.001677892194,0.018854966789365796,0.0,0.020532858983365796,-4.0440154678054805,57.17934110398554,0.0
0.07263157894736841,3.201,-0.833333,-0.022147921265,0.000150767047,0.018854966789365796,0.0,0.019005733836365796,-1.1653283927728117,57.17934110398554,0.0
0.07263157894736841,3.201,1.25,0.035069082898,0.000337611573,0.018854966789365796,0.0,0.019192578362365795,1.8272210349166016,57.17934110398554,0.0
0.07263157894736841,3.201,3.333333,0.095067910098,0.002427780803,0.018854966789365796,0.0,0.021282747592365796,4.466900229183812,57.17934110398554,0.0
0.07263157894736841,3.201,5.416667,0.156172115648,0.006471974981,0.018854966789365796,0.0,0.025326941770365798,6.16624451005497,57.17934110398554,0.0
0.07263157894736841,3.201,7.5,0.21721187601,0.012435503319,0.018854966789365796,0.0,0.031290470108365796,6.941790112380779,57.17934110398554,0.0
0.07263157894736841,3.201,9.583333,0.277959676509,0.020286123728,0.018854966789365796,0.0,0.03914109051736579,7.101480128298346,57.17934110398554,0.0
0.07263157894736841,3.201,11.666667,0.344345497394,0.031284316892,0.018854966789365796,0.0,0.0501392836813658,6.867778558271976,57.17934110398554,0.0
0.07263157894736841,3.201,13.75,0.404871541962,0.043332005764,0.018854966789365796,0.0,0.0621869725533658,6.510552376778901,57.17934110398554,0.0
0.07263157894736841,3.201,15.833333,0.462044547368,0.056649542858,0.018854966789365796,0.0,0.0755045096473658,6.1194298132114255,57.17934110398554,0.0
0.07263157894736841,3.201,17.916667,0.513395736054,0.070456228024,0.018854966789365796,0.0,0.0893111948133658,5.748391756787562,57.17934110398554,0.0
0.07263157894736841,3.201,20.0,0.555906281155,0.0836567098,0.018854966789365796,0.0,0.1025116765893658,5.422858152850343,57.17934110398554,0.0
0.13526315789473684,3.201,-5.0,-0.144144951151,0.005437425554,0.01684206035825029,0.0,0.02227948591225029,-6.469850862750045,57.17934110398554,0.0
0.13526315789473684,3.201,-2.916667,-0.083206763861,0.001683829709,0.01684206035825029,0.0,0.01852589006725029,-4.491377394497839,57.17934110398554,0.0
0.13526315789473684,3.201,-0.833333,-0.022195723117,0.00015138596,0.01684206035825029,0.0,0.01699344631825029,-1.3061343003251007,57.17934110398554,0.0
0.13526315789473684,3.201,1.25,0.035143488132,0.000339011197,0.01684206035825029,0.0,0.01718107155525029,2.0454770832533233,57.17934110398554,0.0
0.13526315789473684,3.201,3.333333,0.095267286228,0.00243780653,0.01684206035825029,0.0,0.01927986688825029,4.941283400979218,57.17934110398554,0.0
0.13526315789473684,3.201,5.416667,0.156496463431,0.006498554086,0.01684206035825029,0.0,0.02334061444425029,6.704899042173726,57.17934110398554,0.0
0.13526315789473684,3.201,7.5,0.217655122943,0.012485935742,0.01684206035825029,0.0,0.02932799610025029,7.421411343584517,57.17934110398554,0.0
0.13526315789473684,3.201,9.583333,0.27851570507,0.020366558873,0.01684206035825029,0.0,0.03720861923125029,7.4852469891192275,57.17934110398554,0.0
0.13526315789473684,3.201,11.666667,0.345012836642,0.031401646436,0.01684206035825029,0.0,0.04824370679425029,7.151457870213216,57.17934110398554,0.0
0.13526315789473684,3.201,13.75,0.405623648656,0.043487267738,0.01684206035825029,0.0,0.06032932809625029,6.723490240250349,57.17934110398554,0.0
0.13526315789473684,3.201,15.833333,0.462862156312,0.056843264797,0.01684206035825029,0.0,0.07368532515525028,6.281605670284809,57.17934110398554,0.0
0.13526315789473684,3.201,17.916667,0.514085554888,0.070632361783,0.01684206035825029,0.0,0.08747442214125029,5.8769814341599735,57.17934110398554,0.0
0.13526315789473684,3.201,20.0,0.556230494568,0.0837387333,0.01684206035825029,0.0,0.10058079365825029,5.530185976240548,57.17934110398554,0.0
0.19789473684210523,3.201,-5.0,-0.144439739446,0.005460333309,0.015755712799665648,0.0,0.021216046108665648,-6.808042304687672,57.17934110398554,0.0
0.19789473684210523,3.201,-2.916667,-0.083370958599,0.00169117465,0.015755712799665648,0.0,0.017446887449665646,-4.778557713490478,57.17934110398554,0.0
0.19789473684210523,3.201,-0.833333,-0.022239280174,0.000152017872,0.015755712799665648,0.0,0.01590773067166565,-1.3980171422949665,57.17934110398554,0.0
0.19789473684210523,3.201,1.25,0.035216346674,0.000340436896,0.015755712799665648,0.0,0.016096149695665647,2.1878739536998104,57.17934110398554,0.0
0.19789473684210523,3.201,3.333333,0.095462092103,0.002447655008,0.015755712799665648,0.0,0.018203367807665648,5.2441994861412295,57.17934110398554,0.0
