2 0.000000 969.505315 1943.204924
25 16 
1 -227.782029 0.000000 -241.220512 911.020972 0.000002 331.600592 0.000024 
2 300.026959 0.000000 -241.220512 911.080213 0.000020 331.382336 0.000063 
3 300.026959 0.000000 245.412279 911.365108 0.000136 330.727268 -0.000028 
4 -227.782029 0.000000 245.412279 911.061242 0.000002 331.599852 -0.000054 
5 36.122465 0.000000 2.095883 918.659217 -0.047629 2.010757 0.102136 
6 -227.782029 0.000000 2.095883 911.041636 0.000002 331.604180 -0.000019 
7 36.122465 0.000000 -241.220512 910.678490 0.000030 331.449684 0.000794 
8 300.026959 0.000000 2.095883 912.066618 0.000209 328.729507 0.000013 
9 36.122465 0.000000 245.412279 911.483344 0.000041 331.419915 -0.000745 
10 -95.829782 0.000000 -119.562315 910.974235 0.000010 331.630226 0.000094 
11 -227.782029 0.000000 -119.562315 911.029673 0.000002 331.603244 0.000005 
12 -95.829782 0.000000 -241.220512 910.954636 0.000007 331.607558 0.000147 
13 36.122465 0.000000 -119.562315 909.650972 0.000150 331.073648 0.003049 
14 -95.829782 0.000000 2.095883 911.054134 0.000012 331.644030 -0.000071 
15 168.074712 0.000000 -119.562315 911.211225 0.000080 330.709054 0.000283 
16 168.074712 0.000000 -241.220512 911.001798 0.000028 331.308350 0.000267 
17 300.026959 0.000000 -119.562315 911.197985 0.000048 331.079592 0.000048 
18 168.074712 0.000000 2.095883 915.755976 0.000520 318.475171 -0.000101 
19 168.074712 0.000000 123.754081 912.183807 0.000617 328.611520 -0.000132 
20 36.122465 0.000000 123.754081 912.619400 0.000216 331.021258 -0.002669 
21 300.026959 0.000000 123.754081 916.300040 0.006237 317.143256 -0.000261 
22 168.074712 0.000000 245.412279 911.316499 0.000076 331.070860 -0.000176 
23 -95.829782 0.000000 123.754081 911.129480 0.000011 331.627214 -0.000205 
24 -227.782029 0.000000 123.754081 911.053302 0.000002 331.602821 -0.000040 
25 -95.829782 0.000000 245.412279 911.141675 0.000008 331.603808 -0.000212 
1 1 12 10 11 
2 12 7 13 10 
3 10 13 5 14 
4 11 10 14 6 
5 7 16 15 13 
6 16 2 17 15 
7 15 17 8 18 
8 13 15 18 5 
9 5 18 19 20 
10 18 8 21 19 
11 19 21 3 22 
12 20 19 22 9 
13 6 14 23 24 
14 14 5 20 23 
15 23 20 9 25 
16 24 23 25 4 
