Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main_Wing,2.009878,1.447178,0.021138,0.015237
Fuselage,1.194929,1.128557,0.057149,0.054036
Totals,3.204807,2.575735,0.078287,0.069273

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main_Wing_S_Surf0,1.004939,0.723589
Main_Wing_S_Surf1,1.004939,0.723589
Fuselage_S_Surf0,1.194929,1.128557
