Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main_Wing,20.154717,14.543687,0.668438,0.482062
Fuselage,11.949287,11.296076,1.807224,1.707425
Totals,32.104004,25.839763,2.475663,2.189487

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main_Wing_S_Surf0,10.077358,7.271843
Main_Wing_S_Surf1,10.077358,7.271843
Fuselage_S_Surf0,11.949287,11.296076
