mach,planform_area,angle_of_attack,lift,induced_drag,parasitic_drag,wave_drag,total_drag,lift_over_drag
0.1,1,-5.0,-0.195975174835,0.005595746221,0.012541125974673965,0,0.018136872195673965,-10.805345746536402
0.1,1,-4.0,-0.156918191984,0.003585777414,0.012541125974673965,0,0.016126903388673966,-9.730212192763846
0.1,1,-3.0,-0.117756032887,0.002018651026,0.012541125974673965,0,0.014559777000673966,-8.087763492637912
0.1,1,-2.0,-0.078530056739,0.000897811638,0.012541125974673965,0,0.013438937612673965,-5.843472081077305
0.1,1,-1.0,-0.039273788171,0.000224601602,0.012541125974673965,0,0.012765727576673965,-3.0765021370785477
0.1,1,0.0,0.0,0.0,0.012541125974673965,0,0.012541125974673965,0.0
0.1,1,1.0,0.039267381157,0.000224527203,0.012541125974673965,0,0.012765653177673964,3.076018172393661
0.1,1,2.0,0.078502472342,0.00089719506,0.012541125974673965,0,0.013438321034673965,5.841687524761876
0.1,1,3.0,0.117693219709,0.002016555242,0.012541125974673965,0,0.014557681216673965,8.084613061467333
0.1,1,4.0,0.156804309445,0.00358049139,0.012541125974673965,0,0.016121617364673966,9.726338610950597
0.1,1,5.0,0.195798140305,0.005585694327,0.012541125974673965,0,0.018126820301673965,10.801571210308659
0.1,1,6.0,0.234651822052,0.00802803521,0.012541125974673965,0,0.020569161184673966,11.407943179853076
0.1,1,7.0,0.273335370497,0.010902231519,0.012541125974673965,0,0.023443357493673964,11.659395228296875
0.1,1,8.0,0.311821685726,0.014202211036,0.012541125974673965,0,0.026743337010673964,11.659789711416485
0.1,1,9.0,0.350089848343,0.017921801088,0.012541125974673965,0,0.030462927062673964,11.492324674603017
0.1,1,10.0,0.388091586213,0.022051788126,0.012541125974673965,0,0.034592914100673965,11.218817387964402
0.1,1,11.0,0.425833891323,0.02658684471,0.012541125974673965,0,0.03912797068467397,10.883106991536232
0.1,1,12.0,0.463201813779,0.0315048887,0.012541125974673965,0,0.044046014674673964,10.516316111689818
0.1,1,13.0,0.497849776704,0.036442326477,0.012541125974673965,0,0.048983452451673966,10.163631834550005
0.1,1,14.0,0.52876856082,0.041178948093,0.012541125974673965,0,0.05372007406767396,9.843034843062258
0.1,1,15.0,0.556139762749,0.045665383214,0.012541125974673965,0,0.05820650918867397,9.554597423911751
0.1,1,16.0,0.58001508163,0.049845708928,0.012541125974673965,0,0.062386834902673965,9.297074976392816
0.1,1,17.0,0.600589497468,0.053706393679,0.012541125974673965,0,0.06624751965367397,9.065841266325696
0.1,1,18.0,0.617850537471,0.057144059763,0.012541125974673965,0,0.06968518573767396,8.86631112381424
0.1,1,19.0,0.631978716265,0.06016354018,0.012541125974673965,0,0.07270466615467397,8.692409300394978
0.1,1,20.0,0.6433775957,0.062752375626,0.012541125974673965,0,0.07529350160067397,8.54492860635188
0.2,1,-5.0,-0.196799803925,0.005641395985,0.011059437660533921,0,0.016700833645533923,-11.783831160885043
0.2,1,-4.0,-0.157579587055,0.003615018472,0.011059437660533921,0,0.01467445613253392,-10.738359611545606
0.2,1,-3.0,-0.118253949128,0.002035172909,0.011059437660533921,0,0.013094610569533921,-9.030734323869932
0.2,1,-2.0,-0.07886194507,0.000905169322,0.011059437660533921,0,0.011964606982533921,-6.591269164555394
0.2,1,-1.0,-0.039439434856,0.000226442356,0.011059437660533921,0,0.011285880016533922,-3.4945821502816665
0.2,1,0.0,0.0,0.0,0.011059437660533921,0,0.011059437660533921,0.0
0.2,1,1.0,0.039432958165,0.000226365893,0.011059437660533921,0,0.01128580355353392,3.4940319471228407
0.2,1,2.0,0.078833366742,0.000904526556,0.011059437660533921,0,0.011963964216533922,6.589234581047486
0.2,1,3.0,0.118189857199,0.002033059117,0.011059437660533921,0,0.013092496777533921,9.027297024186248
0.2,1,4.0,0.157464645322,0.003609653,0.011059437660533921,0,0.014669090660533922,10.73445170978776
0.2,1,5.0,0.196622012961,0.005631082592,0.011059437660533921,0,0.01669052025253392,11.780460404231512
0.2,1,6.0,0.235637992986,0.008093167983,0.011059437660533921,0,0.01915260564353392,12.303181998923126
0.2,1,7.0,0.274480672536,0.010990321142,0.011059437660533921,0,0.02204975880253392,12.448239229921061
0.2,1,8.0,0.313123175694,0.014316485097,0.011059437660533921,0,0.02537592275753392,12.339380864525847
0.2,1,9.0,0.35154354581,0.018065784996,0.011059437660533921,0,0.02912522265653392,12.070072388996318
0.2,1,10.0,0.389711805364,0.022228872793,0.011059437660533921,0,0.03328831045353392,11.707166871925992
0.2,1,11.0,0.427608541835,0.02679970579,0.011059437660533921,0,0.03785914345053392,11.294723093608964
0.2,1,12.0,0.465048709687,0.031745855563,0.011059437660533921,0,0.04280529322353392,10.864280435096305
0.2,1,13.0,0.49962230807,0.036689772085,0.011059437660533921,0,0.04774920974553393,10.46346757847088
0.2,1,14.0,0.530430800133,0.041424074765,0.011059437660533921,0,0.052483512425533924,10.106617785644591
0.2,1,15.0,0.557671800887,0.045900662029,0.011059437660533921,0,0.056960099689533916,9.790569256841888
0.2,1,16.0,0.581388892371,0.050055638812,0.011059437660533921,0,0.06111507647253392,9.513019142376193
0.2,1,17.0,0.601783422492,0.053877462254,0.011059437660533921,0,0.06493689991453393,9.267202827422182
0.2,1,18.0,0.618848000775,0.057269559283,0.011059437660533921,0,0.06832899694353392,9.056886950739331
0.2,1,19.0,0.632719218768,0.060221543486,0.011059437660533921,0,0.07128098114653392,8.87641006886963
0.2,1,20.0,0.643971527904,0.062813769706,0.011059437660533921,0,0.07387320736653392,8.717254209754703
0.3,1,-5.0,-0.198009890492,0.005732388533,0.01030377173825266,0,0.01603616027125266,-12.347712117031149
0.3,1,-4.0,-0.158560579653,0.003673389733,0.01030377173825266,0,0.01397716147125266,-11.34426185024172
0.3,1,-3.0,-0.118995275567,0.002067528804,0.01030377173825266,0,0.012371300542252661,-9.618655303101418
0.3,1,-2.0,-0.079359845053,0.000919608352,0.01030377173825266,0,0.011223380090252661,-7.070939807333341
0.3,1,-1.0,-0.039689396398,0.000230053441,0.01030377173825266,0,0.01053382517925266,-3.767804735944539
0.3,1,0.0,0.0,0.0,0.01030377173825266,0,0.01030377173825266,0.0
0.3,1,1.0,0.039683106463,0.000229973212,0.01030377173825266,0,0.01053374495025266,3.767236310581848
0.3,1,2.0,0.07933461956,0.00091908531,0.01030377173825266,0,0.01122285704825266,7.069021659894704
0.3,1,3.0,0.118932170674,0.002067008183,0.01030377173825266,0,0.01237077992125266,9.61395897680451
0.3,1,4.0,0.158431181881,0.003671298293,0.01030377173825266,0,0.01397507003125266,11.336700390530993
